name,rating,price,URL,transactions,location,cuisine,id,review counts,num_id,comments,processed_comments,processed_cuisine,processed_transactions,bogs
Da Andrea,4,low,https://www.yelp.com/biz/da-andrea-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew,"delivery, pickup, restaurant_reservation", New York,Italian,hdiuRS9sVZSMReZm4oV5SA,1851,0,"This small and crowded place seems to be a neighborhood favorite. Service is terrific and courteous, wine is drinkable...BUT the pasta we ordered came with a heavy-handed tomato sauce (we had the spaghetti Bolognese and over-cooked artichoke ravioli) and the mixed salad was no big deal. Prices are reasonable so you won't invest too much if you need a bite after seeing a movie at the Quad across the street or hearing music at the New School a few doors away. My friend and I aren't tempted to return.",This small crowded place seem neighborhood favorite Service terrific courteous wine drinkable BUT pasta order come tomato sauce spaghetti Bolognese artichoke ravioli mixed salad big deal Prices reasonable wo invest much need bite see movie Quad across street hearing music New School door away My friend I tempt return,Italian,delivery pickup,Italian This small crowded place seem neighborhood favorite Service terrific courteous wine drinkable BUT pasta order come tomato sauce spaghetti Bolognese artichoke ravioli mixed salad big deal Prices reasonable wo invest much need bite see movie Quad across street hearing music New School door away My friend I tempt return delivery pickup
LoveMama,5,low,https://www.yelp.com/biz/lovemama-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew,"delivery, pickup, restaurant_reservation", New York,Thai,jjJc_CrkB2HodEinB6cWww,6377,1,"Absolutely LOVED LoveMama!! As a college student in nyc, it can be hard to come by reasonably priced yet delish authentic cuisine. But LoveMama really checked all the boxes for me! The food was just amazing and the portion sizes were perfect. Not to mention the service was outstanding. Everyone there is super friendly and kind. We also got our food so fast. I would give it 10 stars if I could!! Had such an amazing experience there and I'm already looking forward to the next time!",Absolutely LOVED LoveMama As college student nyc hard come reasonably price yet delish authentic cuisine But LoveMama really check box The food amazing portion size perfect Not mention service outstanding Everyone super friendly kind We also get food fast I would give star I could Had amazing experience I already look forward next time,Thai,delivery pickup,Thai Absolutely LOVED LoveMama As college student nyc hard come reasonably price yet delish authentic cuisine But LoveMama really check box The food amazing portion size perfect Not mention service outstanding Everyone super friendly kind We also get food fast I would give star I could Had amazing experience I already look forward next time delivery pickup
Ye's Apothecary,5,mid-range,https://www.yelp.com/biz/yes-apothecary-new-york-4?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew,, New York,Szechuan,8YWLuLUKj0t_0_Xv06UUtw,212,2,"Good food, good service and good vibe. Drinks have some Chinese twists. Highly recommend!",Good food good service good vibe Drinks Chinese twist Highly recommend,Szechuan,,Szechuan Good food good service good vibe Drinks Chinese twist Highly recommend 
Joe's Shanghai,4,low,https://www.yelp.com/biz/joes-shanghai-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew,"delivery, pickup", New York,Shanghainese,0CjK3esfpFcxIopebzjFxA,7098,3,"Casual, soup dumpling shop in Chinatown. No reservations, we came on a Friday evening for 2 people, were sat within 10 minutes. The pork soup dumplings were delicious, a bit large but tasty. Also ordered the scallion pancakes which I would not recommend, a bit overdone and too crispy. Would recc for good food and casual vibes",Casual soup dumpling shop Chinatown No reservation come Friday evening people sit within minute The pork soup dumpling delicious bit large tasty Also order scallion pancakes I would recommend bit overdone crispy Would recc good food casual vibe,Shanghainese,delivery pickup,Shanghainese Casual soup dumpling shop Chinatown No reservation come Friday evening people sit within minute The pork soup dumpling delicious bit large tasty Also order scallion pancakes I would recommend bit overdone crispy Would recc good food casual vibe delivery pickup
Antidote,4,low,https://www.yelp.com/biz/antidote-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew,"delivery, pickup", Brooklyn,Cocktail Bars,4DInnPhOyvXFbYpUdO0SMQ,325,4,Excellent service & food! The drinks were so beautiful and unique as well.  The duck fried rice and cucumber salad are delicious! Will be returning :),Excellent service food The drink beautiful unique well The duck fry rice cucumber salad delicious Will return,Cocktail Bars,delivery pickup,Cocktail Bars Excellent service food The drink beautiful unique well The duck fry rice cucumber salad delicious Will return delivery pickup
Raku,4,low,https://www.yelp.com/biz/raku-new-york-7?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew,"delivery, pickup", New York,Japanese,FlZ1zdVEKWv7dwqm8Uw8-w,1497,5,"Delicious food, there are heaters for the outside seating area so you stay warm, service was good, small wait time, which was appropriate considering it was a sit down place, certainly worth it!",Delicious food heater outside seating area stay warm service good small wait time appropriate consider sit place certainly worth,Japanese,delivery pickup,Japanese Delicious food heater outside seating area stay warm service good small wait time appropriate consider sit place certainly worth delivery pickup
Time Out Market New York,4,low,https://www.yelp.com/biz/time-out-market-new-york-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew,, Brooklyn,Food Court,MGd6HFEq1ALD58XWNviSXw,464,6,Amazing food and so many choices. Time out is such a cool concept. Order and pay for food and wait with your buzzer to go and collect great food from a selection of NYC restaurants. My only criticism is that seating was pretty scarce.,Amazing food many choice Time cool concept Order pay food wait buzzer go collect great food selection NYC restaurant My criticism seat pretty scarce,Food Court,,Food Court Amazing food many choice Time cool concept Order pay food wait buzzer go collect great food selection NYC restaurant My criticism seat pretty scarce 
Benemon,5,low,https://www.yelp.com/biz/benemon-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew,"delivery, pickup", New York,Japanese,axqp3pGJXnTLgq2QrPyDyQ,699,7,"They say they specialize in eel, and they are not lying - food is amazing. I've been here a few times and would definitely recommend it to any eel lovers. The vibe is also very trendy, casual, and peaceful!",They say specialize eel lie food amazing I time would definitely recommend eel lover The vibe also trendy casual peaceful,Japanese,delivery pickup,Japanese They say specialize eel lie food amazing I time would definitely recommend eel lover The vibe also trendy casual peaceful delivery pickup
The Cabin NYC,5,low,https://www.yelp.com/biz/the-cabin-nyc-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew,"pickup, restaurant_reservation, delivery", New York,American (New),J3NT61-AH5d5Gu5tFJhYSw,541,8,"Had an amazing dinner here and so happy they have so many gluten free options!  There were four of us and we shared all the appetizers and then got two entrees to try. I really liked the burrata, truffle fries, chilli, salmon and the s'mores dessert was delicious!  Super friendly service and dishes came out reasonable time, I will be back!",Had amazing dinner happy many gluten free option There four u share appetizer get two entree try I really like burrata truffle fry chilli salmon dessert delicious Super friendly service dish come reasonable time I back,American New,pickup delivery,American New Had amazing dinner happy many gluten free option There four u share appetizer get two entree try I really like burrata truffle fry chilli salmon dessert delicious Super friendly service dish come reasonable time I back pickup delivery
ARIARI,5,low,https://www.yelp.com/biz/ariari-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew,, New York,Korean,nMyot99PkX5iYCdxHoRJqQ,88,9,"THIS PLACE IS AMAZING. Great service, kind staff, amazing food. The drinks are delicious as well as the  dishes. 10/10 recommend. You MUST try the corn crème brûlée!",THIS PLACE IS AMAZING Great service kind staff amaze food The drink delicious well dish recommend You MUST try corn crème brûlée,Korean,,Korean THIS PLACE IS AMAZING Great service kind staff amaze food The drink delicious well dish recommend You MUST try corn crème brûlée 
Crab House All You Can Eat Seafood,5,pricey-dining,https://www.yelp.com/biz/crab-house-all-you-can-eat-seafood-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew,"delivery, pickup", New York,Buffets,YvWQMlMjtYmVmheH97tTlQ,743,10,By far the best seafood place I have been to ever. And the fact that it's all you can eat makes it even better staff was pleasant and very attentive. My new favorite restaurant,By far best seafood place I ever And fact eat make even better staff pleasant attentive My new favorite restaurant,Buffets,delivery pickup,Buffets By far best seafood place I ever And fact eat make even better staff pleasant attentive My new favorite restaurant delivery pickup
